date,collected_total,collected_A,collected_B,collected_O,collected_AB,team_total,Individual_donate,demand_total,demand_A,demand_B,demand_O,demand_AB,supply_total,supply_A,supply_B,supply_O,supply_AB,platelet_collection,platelet_collection_tx_units,platelet_collection_A,platelet_collection_B,platelet_collection_O,platelet_collection_AB,platelet_supply,platelet_supply_A,platelet_supply_B,platelet_supply_O,platelet_supply_AB
3/19/2012,3896,1224,996,1389,287,1100,2796,4600,1400,1400,1400,400,3512,1079,948,1198,287,314,419,120,93,165,41,416,139,100,145,32
3/26/2012,3058,965,749,1081,263,1115,1943,4300,1400,1300,1300,300,3497,1081,889,1250,277,213,279,81,74,104,20,416,118,94,165,39
04/02/2012,3055,923,851,1007,274,399.5,2655.5,4600,1500,1500,1200,400,2818,813,772,935,298,328,455,128,119,158,50,341,102,92,118,29
04/09/2012,2887,908,782,991,206,505,2382,4700,1500,1500,1400,300,3369,1030,831,1234,274,305,398,141,95,139,23,405,120,111,143,31
4/16/2012,2915,800,819,1046,250,543.5,2371.5,4700,1500,1300,1500,400,3173,971.5,860,1128,213.5,283,350,91,100,129,30,374,121,82,138,33
4/23/2012,3388,1058,838,1193,299,1060.5,2327.5,4200,1400,1200,1300,300,3381,1042,881.5,1223,234.5,237,305,96,84,103,22,371,109,108,129,25
4/30/2012,4210,1339,1149,1368,354,217.5,3992.5,4600,1500,1300,1400,400,3354.5,954,901.5,1124.5,374.5,356,464,144,122,168,30,459,143,121,164,31
05/07/2012,4053,1196,1117,1381,359,1797,2256,4600,1400,1400,1400,400,3821,1134,1040.5,1321.5,325,282,375,116,101,117,41,377,96,111,131,39
5/14/2012,2667,758,735,944,230,832,1835,4600,1400,1400,1400,400,3500,1056,966,1224,254,313,404,122,116,125,41,408,144,105,126,33
5/21/2012,2737,888,682,943,224,917,1820,4600,1400,1400,1400,400,3346,973,976,1098,299,262,324,117,75,108,24,350,111,85,116,38
5/28/2012,2479,798,609,891,181,402,2077,4600,1400,1400,1400,400,3242,950,865,1144,283,280,345,112,88,120,25,354,111,98,121,24
06/04/2012,2493,750,633,912,198,607,1886,4700,1400,1400,1500,400,2886,847,758,993,288,270,343,104,93,123,23,339,100,88,126,25
06/11/2012,3475,1007,916,1252,300,868,2607,4700,1400,1400,1500,400,3116,970,855,972,319,342,433,147,97,153,36,472,163,109,161,39
6/18/2012,3338,1009,879,1158,292,665,2673,4700,1400,1300,1600,400,3440,921,780,1501,238,314,422,133,124,133,32,408,141,107,132,28
6/25/2012,5033,1616,1306,1667,444,3488,1545,4700,1400,1300,1600,400,4107,1370.5,921.5,1579,236,263,331,94,88,128,21,371,103,112,134,22
07/02/2012,3610,1119,955,1218,318,2365,1245,4700,1400,1300,1600,400,3569,1144,866,1275,284,246,321,106,86,96,33,353,111,91,114,37
07/09/2012,2444,703,663,891,187,1139.5,1304.5,4700,1400,1000,1900,400,3315.5,824,972,1021.5,498,258,341,75,104,119,43,312,89,87,105,31
7/16/2012,2958,922,730,1046,260,1627,1331,4700,1400,1000,1900,400,2955,939,786,970,260,249,314,96,83,107,28,380,97,109,134,40
7/23/2012,1987,587,555,654,191,813,1174,4700,1400,1100,1800,400,3233.5,922,776.5,1201,334,228,283,78,81,101,23,306,76,86,115,29
7/30/2012,2202,665,514,854,169,651.5,1550.5,4700,1400,1100,1800,400,2796.5,822,841.5,870,263,310,391,135,103,120,33,368,127,88,119,34
08/06/2012,2436,714,633,895,194,1256,1180,4700,1400,1100,1800,400,2895.5,708,908,979.5,300,305,393,128,112,126,27,387,127,108,124,28
8/13/2012,3500,1065,940,1190,305,1548,1952,4700,1400,1100,1800,400,3218.5,918.5,959,1000,341,309,412,144,110,121,37,434,152,124,120,38
8/20/2012,3627,1029,978,1318,302,464,3163,4700,1500,1100,1700,400,3200,946.5,896,1084,273.5,290,384,148,82,117,37,436,161,89,145,41
09/03/2012,1999,630,506,695,168,566.75,1432.25,4700,1600,1100,1600,400,3206.5,1064.5,764.5,1071,306.5,303,406,122,107,150,27,392,123,107,139,23
09/10/2012,3385,1026,951.5,1119.5,288,1624.5,1760.5,4500,1500,1200,1500,300,2836.5,833.5,764.5,948.5,290,269,361,101,108,125,27,389,108,110,145,26
9/17/2012,2799,806,781,966,246,688.5,2110.5,4500,1500,1200,1500,300,2880.5,887.5,736,1008.5,248.5,248,340,89,95,127,29,362,105,100,127,30
9/24/2012,3545,1084,949,1214,298,1682.5,1862.5,4500,1500,1200,1500,300,3668,1104.5,1036.5,1233.5,293.5,242,325,106,86,113,20,420,125,111,152,32
10/01/2012,3654,1154,972,1204,324,,3654,4500,1500,1200,1500,300,2547.5,912.5,602.5,882.5,150,291,407,155,94,118,40,405,156,96,117,36
10/08/2012,2307,699,592,820,196,699.5,1607.5,4500,1500,1200,1500,300,3221.5,956,762,1201,302.5,289,382,135,97,123,27,408,130,107,132,39
10/15/2012,3491,1002,979,1239,271,699.5,2791.5,4700,1600,1200,1600,300,2963,834.5,878,1005,245.5,314,444,132,109,172,31,411,124,97,160,30
10/22/2012,3516,1073,947,1192,304,1220,2296,4700,1600,1200,1600,300,3301.5,1039.5,826.5,1100,335.5,294,379,118,108,119,34,433,142,126,136,29
10/29/2012,2940,887,770,1048,235,1335.5,1604.5,4700,1600,1200,1600,300,3397,1089.5,980,1056.5,271,354,450,146,113,158,33,433,144,109,154,26
11/05/2012,2558,808,658,883,209,782,1776,4700,1600,1200,1600,300,3055.5,904.5,915,964.5,271.5,308,379,127,75,146,31,417,146,78,149,44
11/12/2012,3183,953,869,1143,218,1697,1486,4600,1600,1200,1500,300,3197,982,868,1063.5,283.5,299,394,138,113,120,23,407,134,109,137,27
11/19/2012,3962,1173,1054,1385,350,2210,1752,4600,1600,1200,1500,300,3307,1024,761.5,1210.5,311,307,430,125,109,150,46,413,123,109,146,35
11/26/2012,2636,806,664,929,237,1163,1473,4600,1600,1200,1500,300,3377.5,1020.5,867.5,1109.5,380,334,472,156,115,159,42,443,152,117,141,33
12/03/2012,2684,801,757.5,933.5,192,1106.5,1577.5,4600,1600,1200,1500,300,3007,833.5,813,1057.5,303,264,370,109.5,73,155,32.5,425,134.5,89.5,155.5,45.5
12/10/2012,2326,747,518,873,188,704,1622,4600,1600,1200,1500,300,3230.5,951,941.5,1094,244,326,459,140,143,129,47,458,134.5,121.5,163.5,38.5
12/17/2012,2420.5,759,589.5,900.5,171.5,897,1523.5,4600,1600,1200,1500,300,3085.5,912,780,995,398.5,290,417,134,103,146,34,445,144.5,128.5,129,43
12/24/2012,3316.5,1016.5,816.5,1199.5,284,1782.5,1534,4600,1600,1200,1500,300,3051.5,908.5,750,1089,304,285,426,118,107.5,160.5,40,477.5,136.5,108,192.5,40.5
12/31/2013,2966.5,922,799.5,953,292,417,2549.5,4600,1600,1200,1500,300,3037.5,831,991,916.5,299,324,465,148,127.5,154.5,35,539,155.5,157,182.5,44
01/07/2013,1809,526.5,538,614,130.5,611.3,1197.7,4600,1600,1200,1500,300,2791.5,816.5,810,866.5,298.5,283,397,120,97,144.5,35.5,367,117,90,125,35
1/14/2013,3878.5,1157.5,1023,1259.5,438.5,1825,2053.5,4600,1600,1200,1500,300,2886,824.5,876,949,236.5,325,449,134,122,156,37,448.5,136.5,120,158,34
1/21/2013,3560,1016,910.5,1236.5,397,1452.8,2107.2,4600,1600,1200,1500,300,3035.5,984.5,774,1060.5,216.5,279,375,112.5,113,113.5,36,387,135,104,114,34
1/28/2013,2974,879.5,755,1065.5,274,1124,1850,4250,1500,1100,1400,250,3268.5,976.5,874.5,1160.5,257,295,415,138,113.5,139.5,24,457.5,134,133,154,36.5
02/04/2013,2342,690.5,672,771.5,208,1451,891,4100,1500,1100,1300,200,2763,824,638.5,1022,278.5,242,356,101,110,106,39,426.5,126,129,127,44.5
02/11/2013,2388,436.5,368,572.5,1011,,2388,4500,1550,1200,1450,300,1409.5,354,396.5,513.5,145.5,185,272.5,77.5,65,105,25,291,86,72.5,105.5,27
