Year ,Quarter,Value of GDP in Provincial level,Primary industry ,Secondary industry,Tiertiary industry,Unit,Numbers of health institutions,Numbers of medical staffs,Health staffs per thousand,Numbers of visits,Outpatient/ER,Population size,Male,Female,,,,,,,,,,,
2014,1,7768.46,274.21,3744.93,3749.32,100 million yuan,30360,455704,6.82,59815000,5936.7675,48591771,24586866,24004905,,,,,,,,,,,
2014,2,10209.75,480.99,5170.42,4558.34,100 million yuan,30360,455704,6.82,59815000,5936.7675,48591771,24586866,24004905,,,,,,,,,,,
2014,3,9843.98,398.21,4934.27,4511.5,100 million yuan,30360,455704,6.82,59815000,5936.7675,48591771,24586866,24004905,,,,,,,,,,,
2014,4,12331.31,625.85,5303.11,6402.35,100 million yuan,30360,455704,6.82,59815000,5936.7675,48591771,24586866,24004905,,,,,,,,,,,
2015,1,8342.38,278.19,3772.22,4291.97,100 million yuan,31139,491172,7.32,61605000,6112.155,48733389,24627630,24105759,,,,,,,,,,,
2015,2,10938.31,485.11,5098.34,5354.86,100 million yuan,31139,491172,7.32,61605000,6112.155,48733389,24627630,24105759,,,,,,,,,,,
2015,3,10403.54,397.86,4794.26,5211.42,100 million yuan,31139,491172,7.32,61605000,6112.155,48733389,24627630,24105759,,,,,,,,,,,
2015,4,13202.26,671.64,6042.27,6488.35,100 million yuan,31139,491172,7.32,61605000,6112.155,48733389,24627630,24105759,,,,,,,,,,,
2016,1,9356.2,301.8,3979.02,5075.38,100 million yuan,31548,523632,7.74,63392500,6294.25,49108463,24792305 ,24316158 ,,,,,,,,,,,
2016,2,11406.13,530.69,5134.76,5740.68,100 million yuan,31548,523632,7.74,63392500,6294.25,49108463,24792305 ,24316158 ,,,,,,,,,,,
2016,3,11472,418.65,5215.95,5837.4,100 million yuan,31548,523632,7.74,63392500,6294.25,49108463,24792305 ,24316158 ,,,,,,,,,,,
2016,4,14250.65,715.4,6188.1,7347.15,100 million yuan,31548,523632,7.74,63392500,6294.25,49108463,24792305 ,24316158 ,,,,,,,,,,,
2017,1,10551.93,297.08,4436,5818.85,100 million yuan,31981,557296,8.14,69106250,6859.64,49576285,24994950,24581335,,,,,,,,,,,
2017,2,12831.28,523.4,5738.91,6568.97,100 million yuan,31981,557296,8.14,69106250,6859.64,49576285,24994950,24581335,,,,,,,,,,,
2017,3,13574.82,427.31,6488.68,6658.83,100 million yuan,31981,557296,8.14,69106250,6859.64,49576285,24994950,24581335,,,,,,,,,,,
2017,4,14810.23,769.64,5807.93,8232.66,100 million yuan,31981,557296,8.14,69106250,6859.64,49576285,24994950,24581335,,,,,,,,,,,
2018,1,11691.48,303.4,4837.46,6550.62,100 million yuan,32755,589703,8.48,70729975,7029.6275,49998360,25179485,24818875,,,,,,,,,,,
2018,2,13982.79,501.5,6115.42,7365.87,100 million yuan,32755,589703,8.48,70729975,7029.6275,49998360,25179485,24818875,,,,,,,,,,,
2018,3,14121.35,428.11,5970.23,7723.01,100 million yuan,32755,589703,8.48,70729975,7029.6275,49998360,25179485,24818875,,,,,,,,,,,
2018,4,16401.53,734,6582.77,9084.76,100 million yuan,32755,589703,8.48,70729975,7029.6275,49998360,25179485,24818875,,,,,,,,,,,
2019,1,13084.07,311.11,5232.88,7540.08,100 million yuan,34126,628466,8.89,74313050,7376.7575,50389122,25350465,25038657,,,,,,,,,,,
2019,2,15172.26,561.35,6361.62,8249.29,100 million yuan,34126,628466,8.89,74313050,7376.7575,50389122,25350465,25038657,,,,,,,,,,,
2019,3,14942.19,457.8,6243.22,8241.17,100 million yuan,34126,628466,8.89,74313050,7376.7575,50389122,25350465,25038657,,,,,,,,,,,
